B
Chaining
1.9e-07,2e-07,2.3e-07,2.1e-07,1.8e-07,2.2e-07,1.9e-07,2.3e-07,1.9e-07,1.9e-07,2.4e-07,2.1e-07,1.9e-07,2.3e-07,2.4e-07,2.8e-07,2.4e-07,2.5e-07,2e-07,2.5e-07,2.7e-07,2.2e-07,2.2e-07,1.8e-07,2.2e-07,2.2e-07,2.1e-07,1.9e-07,2.2e-07,1.8e-07,2.6e-07,1.9e-07,2.1e-07,1.9e-07,2.5e-07,2.2e-07,2.1e-07,2.1e-07,2.1e-07,2.4e-07,2.3e-07,2.1e-07,2.4e-07,2.4e-07,2e-07,2.6e-07,2.8e-07,2e-07,2e-07,2.4e-07,1.9e-07,2e-07,2e-07,2.2e-07,2.3e-07,1.9e-07,2.5e-07,2.6e-07,2.2e-07,2.4e-07,2.2e-07,2.3e-07,2e-07,1.9e-07,2e-07,2.1e-07,1.8e-07,1.7e-07,1.8e-07,1.9e-07,1.8e-07,1.9e-07,1.9e-07,1.8e-07,1.8e-07,1.9e-07,1.5e-07,2.2e-07,1.9e-07,1.9e-07,1.8e-07,1.7e-07,1.8e-07,2.3e-07,1.9e-07,2e-07,1.7e-07,1.9e-07,2.1e-07,1.8e-07,2.3e-07,1.9e-07,2.1e-07,2.1e-07,1.7e-07,1.5e-07,1.8e-07,1.7e-07,1.5e-07,1.9e-07,2.1e-07,2e-07,1.8e-07,1.7e-07,1.8e-07,1.6e-07,1.9e-07,1.8e-07,1.9e-07,1.7e-07,1.9e-07,2.3e-07,2.1e-07,2e-07,3e-07,1.8e-07,1.7e-07,1.8e-07,1.9e-07,1.8e-07,2.2e-07,2e-07,2.2e-07,1.8e-07,1.8e-07,1.8e-07,1.8e-07,1.9e-07,1.9e-07,1.9e-07,2e-07,2.1e-07,2e-07,1.7e-07,2e-07,1.6e-07,1.7e-07,1.9e-07,1.9e-07,3.8e-07,1.6e-07,1.9e-07,1.9e-07,1.9e-07,1.8e-07,1.9e-07,1.9e-07,1.7e-07,1.8e-07,1.7e-07,1.9e-07,2.2e-07,1.8e-07,1.8e-07,2.3e-07,2.1e-07,2.1e-07,1.7e-07,1.8e-07,1.9e-07,2.4e-07,2.1e-07,1.9e-07,2e-07,2.3e-07,2e-07,2e-07,1.8e-07,1.9e-07,1.7e-07,2.1e-07,2.4e-07,2e-07,2e-07,1.8e-07,2e-07,1.9e-07,1.9e-07,2e-07,2.1e-07,2e-07,2e-07,1.8e-07,2e-07,1.9e-07,2.1e-07,1.7e-07,1.8e-07,1.8e-07,2e-07,2.1e-07,2.6e-07,2.3e-07,2.3e-07,2.2e-07,2e-07,2.1e-07,2.2e-07,2.2e-07,2.1e-07,3.6e-07,2e-07,2.4e-07,2.2e-07,3.4e-07,1.9e-07,1.9e-07,2.3e-07,2e-07,2.1e-07,1.8e-07,2e-07,2.2e-07,2.3e-07,2.6e-07,2.1e-07,2.5e-07,2.3e-07,2e-07,1.9e-07,2.1e-07,2e-07,2.2e-07,2.2e-07,2.2e-07,1.9e-07,2.1e-07,2e-07,2e-07,2.1e-07,2.3e-07,2.4e-07,1.9e-07,2e-07,1.9e-07,2.5e-07,2.5e-07,2.2e-07,2.1e-07,2e-07,2.1e-07,2e-07,2.2e-07,2.2e-07,2.2e-07,2.1e-07,2e-07,2.1e-07,2.2e-07,2.2e-07,2.2e-07,2e-07,2.1e-07,2.1e-07,2.1e-07,2.2e-07,2.3e-07,2.1e-07,2e-07,2.2e-07,2.1e-07,3.5e-07,2e-07,2.4e-07,2.4e-07,2.3e-07,2.5e-07,2.4e-07,2.3e-07,2.1e-07,2e-07,2e-07,2.2e-07,2.3e-07,2.2e-07,2.2e-07,2.3e-07,2e-07,2e-07,2e-07,2.5e-07,2.1e-07,2.7e-07,2.3e-07,2.1e-07,2.2e-07,2.1e-07,2.1e-07,2.4e-07,2.3e-07,2.5e-07,3.4e-07,2.3e-07,2.3e-07,2.1e-07,2.1e-07,2.4e-07,2.1e-07,2.2e-07,2.2e-07,2.2e-07,2e-07,3.5e-07,2.2e-07,2.9e-07,2.3e-07,2.4e-07,2.2e-07,2.7e-07,2.4e-07,2.3e-07,2.7e-07,2.3e-07,2.1e-07,2e-07,2.2e-07,2.5e-07,2.2e-07,2.6e-07,5.5e-07,2.5e-07,2.4e-07,2.6e-07,2.1e-07,2e-07,2.1e-07,3e-07,2.3e-07,2.1e-07,2.3e-07,2.3e-07,2.3e-07,1.9e-07,2.5e-07,2.7e-07,2.4e-07,2.3e-07,2.2e-07,2.3e-07,2.2e-07,2.5e-07,2.4e-07,2e-07,2.4e-07,2e-07,2.4e-07,2.4e-07,2.3e-07,2.3e-07,2.4e-07,2.5e-07,2.5e-07,2.7e-07,2.4e-07,2.6e-07,2.2e-07,2.3e-07,2.4e-07,2.2e-07,2.4e-07,2.8e-07,2.2e-07,2e-07,2.6e-07,2.3e-07,1.9e-07,2.1e-07,2e-07,2e-07,2.5e-07,2.2e-07,2.3e-07,2.6e-07,2.1e-07,2.1e-07,2.3e-07,2e-07,2.4e-07,2.3e-07,2.1e-07,2.4e-07,2.1e-07,2e-07,2.2e-07,2.3e-07,2.1e-07,2.7e-07,2.1e-07,2.1e-07,2.2e-07,2.2e-07,2.3e-07,2.5e-07,2e-07,2.3e-07,2.4e-07,2.6e-07,2.3e-07,2.4e-07,2.7e-07,
Linear Probing
0.00016655,0.00016152,0.0001619,0.00015936,0.00016577,0.00016014,0.00016469,0.00016058,0.00015821,0.00016356,0.00016096,0.0001628,0.00015839,0.00016144,0.00017148,0.00016592,0.0001671,0.00016836,0.00016165,0.0001694,0.00016205,0.0001658,0.00016034,0.00016471,0.00016078,0.00016504,0.00016372,0.00016807,0.00016093,0.00015987,0.00016122,0.00015813,0.00016111,0.00015833,0.00016333,0.00016069,0.0001744,0.00016171,0.00016572,0.00016282,0.00016516,0.00016014,0.0001783,0.00016282,0.00016542,0.00016341,0.0001664,0.00016048,0.00017076,0.00016499,0.00015807,0.00016283,0.0001581,0.0001613,0.0001581,0.00016098,0.00016303,0.00016462,0.00016579,0.00016482,0.00019527,0.00015626,0.00016154,0.00016189,0.00015606,0.00015561,0.00015522,0.00015461,0.00016031,0.0001584,0.00016368,0.0001564,0.00015584,0.00015532,0.00015794,0.00015565,0.00015646,0.00015708,0.00015522,0.00015689,0.00015519,0.00015581,0.0001543,0.00015593,0.00015552,0.00016465,0.00017106,0.00017079,0.00015859,0.00015972,0.00015469,0.00016262,0.00015782,0.00015913,0.00015976,0.00016051,0.00016075,0.00016027,0.00016131,0.00016217,0.00015932,0.00015774,0.00015728,0.00015671,0.00015723,0.00015746,0.00015782,0.00015751,0.00015469,0.0001554,0.00015865,0.00016346,0.00016619,0.00016835,0.00016856,0.00016908,0.00016857,0.00016947,0.00016965,0.00016985,0.00015801,0.00015745,0.00015524,0.00015611,0.00015498,0.00015716,0.0001573,0.00015898,0.00016153,0.00015426,0.00015579,0.00015434,0.00015664,0.00015557,0.00015552,0.00015597,0.000156,0.00015517,0.00015548,0.0001535,0.00015992,0.00015441,0.00015714,0.00015495,0.00015656,0.00015832,0.00015999,0.00015793,0.00015969,0.00015833,0.00015796,0.00015757,0.00016129,0.00016857,0.00017243,0.00017326,0.00017397,0.0001744,0.00017416,0.00017464,0.00017516,0.00015673,0.00016348,0.00016658,0.00016734,0.00016865,0.00016825,0.00016889,0.00016821,0.00016934,0.00017013,0.00016185,0.00015428,0.00015688,0.00016249,0.00016747,0.00016295,0.00016785,0.00016776,0.00017008,0.00016863,0.00016882,0.00016915,0.00016922,0.00016879,0.00016857,0.00017074,0.00017013,0.00017034,0.00016959,0.00017058,0.00016066,0.00016658,0.00016862,0.00017034,0.00017108,0.00017049,0.00015976,0.00017287,0.00016817,0.00016913,0.00017138,0.00015499,0.00015858,0.00017095,0.00017188,0.00017011,0.00017185,0.00015855,0.00016882,0.00016996,0.00017298,0.00016451,0.00016444,0.0001621,0.00017208,0.00016342,0.00016774,0.00016888,0.00016947,0.00016966,0.00016923,0.0001696,0.00017019,0.00016991,0.0001697,0.00017035,0.00017027,0.00017072,0.00016984,0.00017067,0.00015447,0.00015855,0.00015802,0.00015901,0.00016178,0.00015962,0.00015972,0.00015935,0.00016257,0.00016046,0.00015976,0.00016099,0.00016091,0.00015982,0.00016123,0.00015663,0.00016761,0.00015561,0.00015678,0.00016,0.0001594,0.0001602,0.00016141,0.00016194,0.00017136,0.00017304,0.0001622,0.00016784,0.00016986,0.00017017,0.00017066,0.00017143,0.00015807,0.00015626,0.00015475,0.00015562,0.00015563,0.00015724,0.00015842,0.00015999,0.00016089,0.00016034,0.00016015,0.00015986,0.00015945,0.0001595,0.00016024,0.00016008,0.0001543,0.00015791,0.00016004,0.00016714,0.00017025,0.00017076,0.00017182,0.0001702,0.00017116,0.00017083,0.0001703,0.00017172,0.00015817,0.00016885,0.00017349,0.00017602,0.00017674,0.00016289,0.00017023,0.00016974,0.00017032,0.00015602,0.00015348,0.00015409,0.00015342,0.00015507,0.00015635,0.00015758,0.00016073,0.0001619,0.00016004,0.00016001,0.00015721,0.00015473,0.00015597,0.00015594,0.00016206,0.00015524,0.00015438,0.00015479,0.00015571,0.00015555,0.00015513,0.00015501,0.00015441,0.00015687,0.00018014,0.00015778,0.00016055,0.00015977,0.00016036,0.00016114,0.00016263,0.00016017,0.00016325,0.00016413,0.0001619,0.00015505,0.00015687,0.00015926,0.00015995,0.00016005,0.00016186,0.000156,0.00015733,0.00016814,0.00015754,0.00015699,0.000158,0.00015892,0.00016138,0.0001619,0.00017219,0.0001618,0.00016051,0.00016067,0.00016317,0.00016142,0.00016406,0.00016315,0.00016035,0.00015701,0.00015681,0.00016899,0.00016187,0.00016115,0.00016157,0.00015975,0.00016151,0.00016307,0.0001583,0.00015442,0.00015969,0.00015479,0.00015858,0.00016028,0.00016122,0.00016139,0.00016103,0.00015565,0.00015773,0.00015966,0.00015973,0.00015988,0.00016097,0.00016024,0.00016048,0.00015983,0.00016017,0.00016198,0.0001575,0.00017034,0.00017212,0.00017391,0.00017573,0.00017306,0.00015626,0.00015438,0.00015763,0.00015544,0.00015438,
Linked List
0.0001236,0.00012178,0.00010141,0.00010182,0.00010673,0.00010286,0.00010277,0.00010174,0.00010857,0.00012465,0.00012444,0.00012493,0.00010386,0.00011954,0.00011023,0.00012204,0.00010981,0.00011047,0.00010811,0.00010896,0.00010839,0.00011254,0.0001067,0.00012457,0.00010707,0.00010852,0.0001089,0.00012454,0.00010969,0.00011666,0.00013079,0.00010749,0.00012827,0.00010935,0.00011258,0.00010998,0.00010993,0.00011265,0.00013793,0.00011108,0.00011755,0.00011186,0.00012797,0.00011404,0.00013415,0.00011355,0.00014078,0.00011281,0.00011395,0.00011441,0.00013537,0.00012288,0.00011742,0.00011601,0.00011425,0.0001148,0.00011815,0.00014129,0.00011754,0.00013558,0.00014794,0.00011356,0.00011815,0.00011845,0.00011521,0.00011568,0.0001145,0.00011887,0.00011852,0.0001169,0.00011688,0.00011624,0.00011603,0.00011767,0.00011659,0.00011598,0.00011737,0.00011817,0.00011869,0.00011769,0.00011762,0.00011746,0.00011821,0.0001177,0.00014492,0.00012285,0.00012615,0.00012293,0.00011928,0.00011928,0.00012145,0.00014484,0.00014609,0.00014484,0.00014603,0.00014619,0.00014535,0.00014736,0.00014627,0.00015093,0.00014975,0.00013106,0.00012422,0.00012414,0.00012424,0.00012451,0.00012423,0.00012236,0.00012493,0.00012599,0.00012845,0.00012841,0.0001283,0.00012888,0.00012865,0.00012936,0.00012911,0.00012935,0.00013019,0.00013586,0.00012988,0.00012949,0.00012793,0.00012917,0.00012841,0.00012999,0.00012887,0.00015669,0.00012823,0.00012736,0.00012899,0.00013089,0.00013031,0.00013074,0.00013019,0.00013156,0.00013108,0.00013184,0.00013261,0.00013112,0.00013551,0.00013352,0.00013273,0.00013466,0.00013387,0.00013352,0.0001336,0.00013554,0.00013389,0.0001355,0.00014024,0.00013427,0.00016504,0.00014037,0.00014177,0.00014053,0.00014174,0.00014313,0.00014206,0.00014246,0.00014256,0.00013879,0.00014012,0.00014512,0.00014062,0.0001415,0.00014246,0.00014152,0.00014255,0.00014839,0.0001423,0.00014062,0.00013935,0.00014116,0.00014152,0.00016903,0.00014221,0.00014337,0.00014335,0.00014754,0.00014616,0.00014521,0.00014564,0.00014541,0.00014629,0.00014653,0.00014591,0.00014619,0.00014628,0.0001469,0.00015316,0.0001478,0.00014693,0.00014838,0.00014936,0.00014794,0.00015007,0.00017593,0.00018157,0.00014823,0.00014894,0.00017454,0.00014711,0.00018141,0.00017867,0.0001827,0.00015096,0.00015293,0.00015002,0.0001501,0.00015275,0.00016427,0.00015239,0.000181,0.0001578,0.00015582,0.00015388,0.00015375,0.00015354,0.00015316,0.00015381,0.00015594,0.00015432,0.00015412,0.00015521,0.00015683,0.00015679,0.00015588,0.0001595,0.00015961,0.00015658,0.00015481,0.00015647,0.00015683,0.00015553,0.00015926,0.00015761,0.00015567,0.00015688,0.00015583,0.00015567,0.00015688,0.00015898,0.00015759,0.00016052,0.00015875,0.00015643,0.00021625,0.00015962,0.00015955,0.00015939,0.0001599,0.0001602,0.00017897,0.00016502,0.00016507,0.00016575,0.00016146,0.00016516,0.00016396,0.00016534,0.00016552,0.0001664,0.00019682,0.00016366,0.0001625,0.00016264,0.00016287,0.00016412,0.00016444,0.00016417,0.00016309,0.00016694,0.0001641,0.00016494,0.00016623,0.00016392,0.00016662,0.00016601,0.00016757,0.00016361,0.00016812,0.00017129,0.00017053,0.00016966,0.00017022,0.00017051,0.00017101,0.00016941,0.00017144,0.00017498,0.0001698,0.00017425,0.00017728,0.00017627,0.00017808,0.00020673,0.0002076,0.00017434,0.00017458,0.00016991,0.00016964,0.0001695,0.00017594,0.00017284,0.00017247,0.00017236,0.00017502,0.00021217,0.00020856,0.00021047,0.00017381,0.000173,0.00017214,0.00017279,0.00019844,0.00017697,0.00017723,0.0001757,0.00018985,0.00017691,0.00017605,0.00017605,0.00017774,0.00017667,0.00020344,0.00018243,0.00021476,0.00021487,0.00018563,0.00017778,0.00017918,0.00018145,0.00021819,0.00018391,0.00018153,0.00018101,0.00018001,0.00017953,0.0001879,0.000181,0.00018227,0.00018227,0.00018354,0.00019016,0.00021798,0.00018794,0.00018345,0.00018171,0.00018342,0.00018948,0.00019194,0.00022218,0.00022199,0.00022355,0.00022304,0.00022446,0.00022139,0.0001876,0.00018718,0.00019124,0.00018808,0.00018941,0.00022475,0.00021985,0.00018549,0.000189,0.00019123,0.000202,0.00022649,0.00018502,0.00018949,0.00018867,0.00019054,0.00018825,0.00018815,0.00018939,0.00019464,0.00019113,0.00018926,0.0001892,0.00019025,0.00019021,0.00019727,0.00019282,0.00019203,0.00019343,0.00019258,0.00019234,0.00023193,0.00023521,0.00021632,0.00023452,0.00023813,0.00020066,0.00019461,0.0001954,0.00019671,0.00019485,0.00019653,
BST
3.9e-07,3.6e-07,4e-07,4e-07,3.8e-07,4e-07,4.1e-07,4.1e-07,4.1e-07,4e-07,4.4e-07,4.4e-07,3.4e-07,5e-07,4.6e-07,4.3e-07,4.6e-07,4.8e-07,4e-07,4.9e-07,4.2e-07,4.1e-07,3.6e-07,4.2e-07,4.4e-07,4.6e-07,4.3e-07,4.6e-07,3.8e-07,3.9e-07,3.9e-07,3.6e-07,3.9e-07,3.5e-07,3.9e-07,4.1e-07,1.16e-06,4.2e-07,4.5e-07,3.7e-07,4.2e-07,4.1e-07,4.9e-07,4.9e-07,7.6e-07,3.8e-07,3.8e-07,4.1e-07,4.5e-07,4.2e-07,4.1e-07,4.3e-07,4e-07,3.8e-07,7.6e-07,4e-07,4.3e-07,4.6e-07,3.8e-07,4.5e-07,6.2e-07,3.8e-07,3.7e-07,3.4e-07,3.2e-07,3.1e-07,3.3e-07,3.3e-07,3.3e-07,3.1e-07,3.3e-07,3.1e-07,3.2e-07,3.1e-07,3.1e-07,2.6e-07,3e-07,3e-07,3.3e-07,3.5e-07,3e-07,2.9e-07,2.9e-07,3.1e-07,3.4e-07,2.8e-07,3.4e-07,3.5e-07,3.6e-07,3.6e-07,3.1e-07,3.2e-07,3e-07,3.1e-07,3.1e-07,3e-07,3e-07,3e-07,3e-07,3.6e-07,3.6e-07,3.3e-07,3.4e-07,2.8e-07,2.7e-07,3e-07,3.1e-07,3.4e-07,3.2e-07,3.2e-07,3.3e-07,3e-07,3.3e-07,3.1e-07,3.1e-07,3e-07,2.6e-07,3e-07,2.9e-07,3.5e-07,3.2e-07,3.4e-07,3.4e-07,3.2e-07,3.4e-07,2.7e-07,2.8e-07,3.3e-07,2.8e-07,2.9e-07,3.1e-07,3.1e-07,3.1e-07,3.3e-07,2.8e-07,2.9e-07,2.9e-07,2.8e-07,2.9e-07,3.2e-07,3.6e-07,3.3e-07,3.4e-07,2.8e-07,2.9e-07,2.8e-07,2.8e-07,2.8e-07,2.9e-07,3e-07,3.3e-07,3e-07,3.3e-07,3.2e-07,3.2e-07,3.2e-07,3.4e-07,3.3e-07,3.1e-07,3.1e-07,3.4e-07,3.5e-07,3.2e-07,3.5e-07,3.4e-07,3.2e-07,3e-07,3.3e-07,3e-07,3.3e-07,3.2e-07,3.3e-07,3e-07,3.2e-07,3.1e-07,3.2e-07,3.3e-07,2.8e-07,7.5e-07,3.9e-07,3.4e-07,3.2e-07,3.1e-07,3.3e-07,3.1e-07,3.1e-07,3.2e-07,3.1e-07,2.9e-07,3.3e-07,4.6e-07,3.7e-07,3.4e-07,3.1e-07,3.2e-07,3.2e-07,3.1e-07,3.5e-07,4.7e-07,3.6e-07,3e-07,3.6e-07,3.5e-07,3.7e-07,3e-07,3.2e-07,2.9e-07,3.1e-07,3.7e-07,2.9e-07,3e-07,5.3e-07,3.7e-07,3.8e-07,3.5e-07,3.4e-07,3.6e-07,3.7e-07,3.4e-07,3e-07,3.2e-07,3.1e-07,2.9e-07,3e-07,3.1e-07,3.5e-07,3.1e-07,2.9e-07,2.9e-07,3.1e-07,2.9e-07,3.3e-07,3.5e-07,2.9e-07,3.2e-07,3.7e-07,3.1e-07,3.6e-07,3.4e-07,3.1e-07,3e-07,3.1e-07,3e-07,3.3e-07,3.5e-07,3.6e-07,3.1e-07,5.5e-07,3.4e-07,6.9e-07,3.5e-07,3.2e-07,7.7e-07,4e-07,4e-07,3.4e-07,3.8e-07,3.3e-07,3.1e-07,3.3e-07,3.1e-07,3.3e-07,3.3e-07,3.6e-07,4e-07,3.8e-07,3.2e-07,3.3e-07,3.5e-07,3.2e-07,3.2e-07,3e-07,3.5e-07,3.1e-07,3.1e-07,3.1e-07,3e-07,3.1e-07,2.7e-07,3.6e-07,3.7e-07,3.4e-07,3.3e-07,3.3e-07,3.1e-07,2.9e-07,2.8e-07,3e-07,2.6e-07,3e-07,3.6e-07,3.4e-07,3.2e-07,3.4e-07,3.4e-07,3.4e-07,3.2e-07,3.2e-07,3.2e-07,5.8e-07,3.4e-07,3.2e-07,2.8e-07,3.1e-07,4.2e-07,3.5e-07,3.2e-07,3.1e-07,3.9e-07,3.6e-07,3.5e-07,3.1e-07,2.9e-07,3.1e-07,3.1e-07,3.1e-07,3.4e-07,3.8e-07,3.3e-07,3.9e-07,3.5e-07,3.1e-07,3.3e-07,3.1e-07,3.2e-07,4.5e-07,3.9e-07,3.5e-07,3.3e-07,3.4e-07,3.4e-07,3.2e-07,3.5e-07,3.6e-07,3.7e-07,3.5e-07,3.4e-07,3.3e-07,2.9e-07,3.4e-07,2.9e-07,3.9e-07,3.4e-07,3.4e-07,3.5e-07,3.2e-07,3.5e-07,3.6e-07,5.2e-07,3.6e-07,3.7e-07,3.3e-07,3.6e-07,3e-07,3.4e-07,3.5e-07,3.1e-07,3e-07,3.3e-07,3.1e-07,3.4e-07,3.6e-07,3.2e-07,3.3e-07,3e-07,4.6e-07,2.9e-07,3e-07,3.3e-07,3.6e-07,4.4e-07,3.5e-07,3.3e-07,3.3e-07,2.8e-07,3.2e-07,3.3e-07,4.2e-07,3.5e-07,3.1e-07,3.3e-07,3e-07,3.2e-07,4e-07,3.8e-07,3.4e-07,3.8e-07,3.9e-07,3.5e-07,4e-07,3.7e-07,3.7e-07,3.9e-07,4.2e-07,4.3e-07,3.9e-07,4.4e-07,4.3e-07,4.6e-07,4.4e-07,
Quadratic Probing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
