A
Chaining
1.2e-06,2.9e-07,1.4e-07,1.2e-07,9e-08,1.2e-07,8e-08,9e-08,1.1e-07,8e-08,8e-08,9e-08,8e-08,8e-08,9e-08,8e-08,9e-08,9e-08,8e-08,7e-08,9e-08,7e-08,7e-08,9e-08,8e-08,7e-08,8e-08,8e-08,7e-08,7e-08,9e-08,8e-08,8e-08,8e-08,7e-08,7e-08,8e-08,7e-08,7e-08,9e-08,9e-08,7e-08,7e-08,9e-08,7e-08,8e-08,9e-08,9e-08,9e-08,4.1e-07,1e-07,1.1e-07,1.3e-07,9e-08,9e-08,1e-07,1e-07,3.3e-07,1e-07,1.1e-07,1.2e-07,1e-07,9e-08,1e-07,1.3e-07,1e-07,9e-08,1.2e-07,1.1e-07,1e-07,9e-08,1.1e-07,8e-08,9e-08,1e-07,1.1e-07,9e-08,9e-08,1e-07,8e-08,8e-08,1e-07,8e-08,1e-07,8e-08,1e-07,1e-07,1e-07,1.1e-07,1.2e-07,1.1e-07,1.1e-07,1.2e-07,1e-07,1.1e-07,1.2e-07,1.1e-07,1.1e-07,1.1e-07,1e-07,1.4e-07,1.1e-07,1e-07,9e-08,1e-07,1e-07,1.1e-07,9e-08,9e-08,1.1e-07,9e-08,9e-08,9e-08,1.5e-07,1.4e-07,1.5e-07,3.8e-07,1.5e-07,1.4e-07,1.3e-07,1.3e-07,1.3e-07,1.1e-07,1.4e-07,1.3e-07,1.2e-07,1.2e-07,1.1e-07,1e-07,1.1e-07,1.1e-07,1.2e-07,1.1e-07,1e-07,1.3e-07,1.1e-07,1.2e-07,1.4e-07,1.2e-07,1.3e-07,1.3e-07,1.2e-07,1.3e-07,1.3e-07,1.4e-07,1.2e-07,1.2e-07,1.2e-07,1.3e-07,1.4e-07,1.5e-07,1.6e-07,1.4e-07,1.6e-07,1.5e-07,1.3e-07,1.3e-07,1.3e-07,1.4e-07,1.5e-07,1.3e-07,1.2e-07,1.1e-07,1.4e-07,1.2e-07,1.2e-07,1.7e-07,1.4e-07,1.2e-07,1.5e-07,1.2e-07,1.3e-07,1.3e-07,1.3e-07,1.4e-07,1.6e-07,1.2e-07,1.3e-07,1.2e-07,1.3e-07,1.5e-07,1.3e-07,1.5e-07,1.4e-07,1.4e-07,1.3e-07,1.4e-07,1.3e-07,1.4e-07,1.4e-07,1.5e-07,1.3e-07,1.4e-07,1.4e-07,1.4e-07,1.5e-07,1.5e-07,1.4e-07,1.5e-07,1.6e-07,1.7e-07,1.5e-07,1.4e-07,1.4e-07,1.4e-07,1.4e-07,1.3e-07,1.5e-07,1.5e-07,1.5e-07,1.6e-07,1.6e-07,1.5e-07,1.4e-07,1.5e-07,1.5e-07,1.5e-07,1.4e-07,1.9e-07,1.6e-07,1.5e-07,1.7e-07,1.7e-07,1.7e-07,1.4e-07,1.5e-07,1.6e-07,1.6e-07,1.6e-07,1.7e-07,2e-07,1.7e-07,1.5e-07,1.8e-07,1.7e-07,1.6e-07,1.7e-07,1.7e-07,1.7e-07,1.4e-07,1.6e-07,1.7e-07,3.6e-07,1.5e-07,1.7e-07,1.5e-07,1.6e-07,1.6e-07,1.5e-07,1.7e-07,1.3e-07,1.5e-07,1.8e-07,1.9e-07,1.5e-07,1.6e-07,1.7e-07,1.7e-07,1.6e-07,1.6e-07,1.5e-07,1.6e-07,1.6e-07,1.6e-07,1.7e-07,1.6e-07,1.6e-07,1.7e-07,1.6e-07,1.5e-07,1.8e-07,1.7e-07,1.8e-07,1.9e-07,1.5e-07,1.7e-07,1.7e-07,1.6e-07,1.4e-07,1.7e-07,1.6e-07,2.1e-07,1.8e-07,1.9e-07,1.6e-07,1.6e-07,1.4e-07,2.1e-07,1.6e-07,2e-07,1.6e-07,1.6e-07,1.5e-07,1.5e-07,1.5e-07,3.3e-07,1.6e-07,1.6e-07,1.6e-07,2e-07,2e-07,1.8e-07,2.2e-07,1.9e-07,2e-07,1.9e-07,2e-07,1.9e-07,1.8e-07,2.3e-07,1.7e-07,1.7e-07,1.8e-07,1.6e-07,1.8e-07,1.7e-07,1.9e-07,1.6e-07,1.6e-07,1.6e-07,1.6e-07,2.2e-07,1.8e-07,2.2e-07,1.6e-07,1.9e-07,1.9e-07,1.7e-07,1.6e-07,1.7e-07,1.9e-07,1.9e-07,1.7e-07,1.8e-07,1.7e-07,1.6e-07,1.8e-07,1.9e-07,1.8e-07,1.9e-07,1.9e-07,1.9e-07,1.8e-07,1.7e-07,1.6e-07,1.8e-07,2.1e-07,2.2e-07,2e-07,2.1e-07,2e-07,1.8e-07,2.2e-07,1.9e-07,1.9e-07,2e-07,1.9e-07,1.9e-07,1.8e-07,1.6e-07,1.8e-07,2.1e-07,1.6e-07,1.7e-07,1.8e-07,1.9e-07,1.8e-07,5.2e-07,1.8e-07,2.1e-07,1.9e-07,1.7e-07,1.6e-07,1.6e-07,1.7e-07,2.2e-07,1.9e-07,2e-07,1.7e-07,1.9e-07,1.7e-07,2.1e-07,1.9e-07,2.3e-07,2.5e-07,1.9e-07,2e-07,1.7e-07,2e-07,2.2e-07,1.8e-07,1.7e-07,1.8e-07,1.8e-07,1.9e-07,5e-07,1.9e-07,2.3e-07,1.8e-07,1.9e-07,
Linear Probing
1.09e-06,3.2e-07,1.3e-07,1.1e-07,1.1e-07,1.1e-07,1e-07,1e-07,9e-08,9e-08,1.1e-07,9e-08,8e-08,1e-07,8e-08,8e-08,1.1e-07,8e-08,9e-08,9e-08,8e-08,7e-08,9e-08,8e-08,9e-08,8e-08,8e-08,1e-07,8e-08,8e-08,8e-08,7e-08,8e-08,8e-08,8e-08,9e-08,8e-08,9e-08,1e-07,8e-08,8e-08,9e-08,9e-08,8e-08,9e-08,9e-08,8e-08,9e-08,9e-08,1.1e-07,1.1e-07,9e-08,1e-07,1.1e-07,1e-07,8e-08,9e-08,1.1e-07,1.2e-07,1.2e-07,9e-08,9e-08,1.1e-07,9e-08,1e-07,1e-07,1.1e-07,9e-08,9e-08,8e-08,1.2e-07,9e-08,8e-08,1.1e-07,1e-07,9e-08,8e-08,1e-07,9e-08,8e-08,1e-07,1.1e-07,9e-08,8e-08,9e-08,1e-07,8e-08,1.2e-07,1e-07,9e-08,1e-07,1.2e-07,1.1e-07,1.1e-07,1.2e-07,1e-07,1.3e-07,1e-07,8e-08,1.1e-07,1e-07,1.1e-07,1.1e-07,1.1e-07,9e-08,9e-08,1e-07,1.1e-07,1e-07,1e-07,1e-07,9e-08,1.1e-07,1.6e-07,1.2e-07,1.2e-07,2.2e-07,1.3e-07,1.4e-07,1.4e-07,1.5e-07,1.2e-07,1.2e-07,1.3e-07,1.2e-07,1.1e-07,1e-07,1.1e-07,1.2e-07,1.1e-07,9e-08,1e-07,1.3e-07,1.1e-07,1.2e-07,1.2e-07,1.3e-07,1.2e-07,1.2e-07,1.1e-07,1.3e-07,1.4e-07,1.4e-07,1.5e-07,1.3e-07,1.2e-07,1.2e-07,1.3e-07,1.2e-07,1.2e-07,1.7e-07,1.4e-07,1.3e-07,1.2e-07,1.2e-07,1.3e-07,1.4e-07,1.4e-07,1.4e-07,1.1e-07,1.2e-07,1.1e-07,1.2e-07,1.3e-07,1e-07,1.1e-07,1.4e-07,1.1e-07,1.4e-07,1.3e-07,1.2e-07,1.3e-07,1.9e-07,1.4e-07,1.2e-07,1.2e-07,1.1e-07,1.3e-07,1.2e-07,1.2e-07,1.2e-07,1.1e-07,1.2e-07,1.7e-07,4.4e-07,1.4e-07,1.3e-07,1.5e-07,1.4e-07,1.3e-07,1.2e-07,1.1e-07,1.1e-07,1.1e-07,1.4e-07,1.6e-07,1.5e-07,1.4e-07,1.8e-07,1.2e-07,1.2e-07,1.3e-07,1.4e-07,1.3e-07,1.2e-07,1.1e-07,1.1e-07,1.4e-07,1.5e-07,1.7e-07,1.3e-07,1.5e-07,1.6e-07,1.6e-07,1.4e-07,1.2e-07,1.4e-07,1.3e-07,1.6e-07,1.6e-07,1.8e-07,1.6e-07,1.3e-07,1.3e-07,1.2e-07,1.6e-07,1.4e-07,1.3e-07,1.3e-07,1.3e-07,1.5e-07,1.3e-07,1.5e-07,1.5e-07,1.8e-07,1.7e-07,1.5e-07,1.4e-07,1.4e-07,1.1e-07,1.5e-07,1.5e-07,1.4e-07,1.4e-07,1.8e-07,1.5e-07,1.3e-07,1.2e-07,1.2e-07,1.2e-07,1.2e-07,1.3e-07,1.5e-07,1.5e-07,1.4e-07,1.5e-07,1.4e-07,1.4e-07,1.4e-07,1.4e-07,1.4e-07,1.6e-07,1.4e-07,1.3e-07,1.7e-07,1.6e-07,1.3e-07,1.5e-07,1.4e-07,1.3e-07,1.9e-07,1.6e-07,1.6e-07,1.8e-07,1.6e-07,1.4e-07,1.3e-07,1.3e-07,1.3e-07,1.7e-07,1.6e-07,1.6e-07,1.4e-07,1.4e-07,1.7e-07,1.5e-07,1.3e-07,1.3e-07,1.2e-07,1.5e-07,1.7e-07,1.4e-07,1.7e-07,1.7e-07,1.6e-07,1.4e-07,1.3e-07,1.6e-07,1.9e-07,1.6e-07,1.7e-07,1.6e-07,1.6e-07,1.8e-07,1.5e-07,1.7e-07,1.6e-07,1.8e-07,1.7e-07,1.8e-07,1.6e-07,1.7e-07,1.9e-07,1.7e-07,2.2e-07,2e-07,1.8e-07,2e-07,1.9e-07,1.8e-07,2e-07,1.6e-07,1.9e-07,1.9e-07,1.9e-07,2.1e-07,1.7e-07,1.8e-07,1.6e-07,1.7e-07,2.3e-07,2e-07,2.1e-07,2.5e-07,2.1e-07,2.1e-07,2e-07,1.9e-07,2.1e-07,2.2e-07,2.7e-07,2.7e-07,2.3e-07,2.3e-07,2.8e-07,2.6e-07,2.6e-07,2.4e-07,2.4e-07,2.6e-07,2.5e-07,2.4e-07,2.9e-07,3.3e-07,3.2e-07,3.4e-07,3.2e-07,2.9e-07,3.2e-07,2.6e-07,4.4e-07,3.3e-07,8.5e-07,4.2e-07,3.6e-07,5.6e-07,5.1e-07,8.9e-07,7.3e-07,5.3e-07,6.3e-07,5.6e-07,4.5e-07,5.7e-07,6.1e-07,7.6e-07,8e-07,7.3e-07,1.06e-06,1.01e-06,9.8e-07,1.1e-06,1.3e-06,3.2e-06,1.35e-06,1.51e-06,1.51e-06,1.99e-06,1.66e-06,2.51e-06,2.69e-06,2.96e-06,2.92e-06,4.85e-06,9.45e-06,1.281e-05,1.84e-05,2.137e-05,3.535e-05,6.527e-05,
Linked List
4.3e-07,5.1e-07,7.8e-07,1.09e-06,1.43e-06,1.64e-06,2.04e-06,2.17e-06,2.45e-06,2.67e-06,3.06e-06,3.11e-06,3.55e-06,3.58e-06,3.92e-06,4.21e-06,4.22e-06,4.39e-06,4.73e-06,4.77e-06,5.03e-06,5.29e-06,5.49e-06,5.65e-06,5.92e-06,6.12e-06,6.34e-06,6.61e-06,6.84e-06,7.06e-06,7.33e-06,7.56e-06,7.79e-06,8.01e-06,8.28e-06,8.5e-06,8.77e-06,9e-06,9.3e-06,9.46e-06,9.72e-06,9.97e-06,1.019e-05,1.044e-05,1.07e-05,1.091e-05,1.117e-05,1.211e-05,1.168e-05,1.427e-05,1.462e-05,1.357e-05,1.27e-05,1.292e-05,1.317e-05,1.342e-05,1.429e-05,1.394e-05,1.414e-05,1.44e-05,1.467e-05,1.494e-05,1.52e-05,1.543e-05,1.698e-05,1.596e-05,1.622e-05,1.688e-05,1.667e-05,1.692e-05,1.769e-05,1.75e-05,1.725e-05,1.749e-05,1.77e-05,1.806e-05,1.884e-05,1.866e-05,1.879e-05,1.907e-05,1.925e-05,2.407e-05,2.432e-05,2.415e-05,2.173e-05,2.045e-05,2.339e-05,2.538e-05,2.695e-05,2.598e-05,2.667e-05,2.536e-05,2.228e-05,2.256e-05,2.278e-05,2.431e-05,2.325e-05,2.348e-05,2.384e-05,2.407e-05,2.485e-05,2.462e-05,2.493e-05,2.516e-05,2.595e-05,2.571e-05,2.599e-05,2.622e-05,2.842e-05,2.666e-05,2.695e-05,2.716e-05,2.865e-05,3.45e-05,3.362e-05,2.934e-05,2.928e-05,2.874e-05,2.902e-05,3.295e-05,2.954e-05,3.106e-05,3.004e-05,3.16e-05,3.056e-05,3.078e-05,3.115e-05,3.14e-05,3.165e-05,3.183e-05,3.264e-05,3.241e-05,3.264e-05,3.484e-05,3.632e-05,4.025e-05,4.255e-05,3.385e-05,3.408e-05,3.64e-05,4.191e-05,4.264e-05,4.491e-05,4.268e-05,4.29e-05,4.396e-05,4.578e-05,4.426e-05,4.415e-05,4.487e-05,4.679e-05,4.505e-05,4.173e-05,3.823e-05,3.872e-05,4.713e-05,4.71e-05,4.389e-05,3.925e-05,3.949e-05,4.03e-05,4.004e-05,4.073e-05,4.095e-05,4.123e-05,4.601e-05,4.147e-05,4.14e-05,4.538e-05,4.186e-05,4.274e-05,5.129e-05,5.157e-05,4.311e-05,4.388e-05,4.459e-05,4.389e-05,4.488e-05,4.437e-05,4.468e-05,4.897e-05,4.668e-05,4.568e-05,4.533e-05,4.575e-05,5.57e-05,5.591e-05,4.964e-05,4.705e-05,4.772e-05,4.747e-05,5.295e-05,5.75e-05,5.7e-05,6.092e-05,6.42e-05,4.958e-05,4.905e-05,4.94e-05,4.973e-05,5.012e-05,5.056e-05,5.088e-05,5.037e-05,5.107e-05,5.194e-05,5.813e-05,6.4e-05,6.41e-05,6.264e-05,6.386e-05,6.46e-05,5.306e-05,5.331e-05,5.355e-05,5.386e-05,5.402e-05,5.433e-05,6.11e-05,6.943e-05,5.653e-05,5.884e-05,5.627e-05,5.694e-05,5.594e-05,5.657e-05,5.82e-05,5.711e-05,5.738e-05,6.404e-05,5.717e-05,6.175e-05,6.43e-05,7.431e-05,6.955e-05,6.037e-05,6.07e-05,6.098e-05,6.121e-05,6.158e-05,7.169e-05,6.228e-05,6.197e-05,6.22e-05,7.581e-05,6.747e-05,6.197e-05,6.291e-05,6.214e-05,6.238e-05,6.763e-05,6.426e-05,6.862e-05,6.346e-05,7.922e-05,7.392e-05,6.588e-05,6.737e-05,6.592e-05,6.617e-05,6.999e-05,8.101e-05,6.928e-05,6.871e-05,6.748e-05,6.909e-05,6.709e-05,6.751e-05,8.138e-05,8.236e-05,7.389e-05,7.3e-05,6.928e-05,8.206e-05,7.421e-05,6.859e-05,6.886e-05,6.95e-05,6.937e-05,8.058e-05,7.15e-05,7.098e-05,7.371e-05,7.117e-05,7.082e-05,7.18e-05,7.13e-05,7.237e-05,7.6e-05,8.68e-05,7.372e-05,7.662e-05,7.34e-05,7.408e-05,7.441e-05,7.416e-05,7.432e-05,7.889e-05,7.618e-05,7.938e-05,8.033e-05,7.575e-05,9.341e-05,9.317e-05,9.347e-05,8.079e-05,7.843e-05,9.446e-05,8.953e-05,7.951e-05,7.734e-05,7.758e-05,7.865e-05,8.006e-05,8.067e-05,9.601e-05,9.77e-05,9.231e-05,8.026e-05,8.059e-05,8.041e-05,8.211e-05,9.677e-05,9.745e-05,0.00010046,8.775e-05,8.196e-05,8.21e-05,8.314e-05,9.769e-05,8.787e-05,8.318e-05,0.00010247,8.706e-05,8.549e-05,8.455e-05,8.442e-05,9.405e-05,8.929e-05,8.736e-05,8.582e-05,0.0001024,0.00010269,0.00010364,0.00010185,8.694e-05,8.694e-05,0.00010499,9.117e-05,8.906e-05,8.833e-05,8.81e-05,9.262e-05,9.275e-05,9.524e-05,8.918e-05,8.938e-05,9.012e-05,9.045e-05,9.66e-05,9.168e-05,9.1e-05,0.00010977,9.272e-05,9.245e-05,9.219e-05,9.682e-05,0.00011238,9.208e-05,0.0001043,9.413e-05,9.372e-05,9.398e-05,9.531e-05,9.624e-05,9.416e-05,9.842e-05,9.619e-05,9.551e-05,9.564e-05,9.539e-05,0.00011525,9.523e-05,0.0001138,9.794e-05,9.893e-05,9.814e-05,0.00010754,0.00010082,9.771e-05,0.00011781,9.822e-05,9.885e-05,9.872e-05,0.00011228,0.00012194,9.972e-05,9.973e-05,9.99e-05,0.00011017,
BST
1.4e-07,1.8e-07,1.8e-07,1.9e-07,1.9e-07,2e-07,2.1e-07,2.1e-07,3.5e-07,2.1e-07,2.1e-07,2.2e-07,2.1e-07,2.5e-07,2.1e-07,2.2e-07,2.1e-07,2.1e-07,2.1e-07,2e-07,2.1e-07,1.9e-07,2.1e-07,2.2e-07,2e-07,2.2e-07,2.1e-07,2e-07,2.1e-07,2.2e-07,2.1e-07,2.3e-07,2.2e-07,2.2e-07,2.3e-07,2.2e-07,2.2e-07,2.2e-07,2.3e-07,2.2e-07,2.2e-07,2.4e-07,2.4e-07,2.2e-07,2.4e-07,2.5e-07,2.5e-07,2.2e-07,2.5e-07,2.9e-07,2.5e-07,2.7e-07,2.2e-07,2.4e-07,2.5e-07,2.2e-07,2.4e-07,2.5e-07,2.5e-07,2.5e-07,2.3e-07,2.5e-07,2.6e-07,2.6e-07,2.7e-07,2.5e-07,2.6e-07,2.9e-07,2.6e-07,2.4e-07,3e-07,2.6e-07,4.1e-07,2.7e-07,2.5e-07,2.3e-07,2.4e-07,2.6e-07,2.6e-07,2.5e-07,2.6e-07,2.8e-07,2.5e-07,2.6e-07,2.4e-07,2.7e-07,2.8e-07,2.9e-07,2.7e-07,2.6e-07,2.7e-07,3.1e-07,2.7e-07,3e-07,2.7e-07,3.3e-07,2.9e-07,2.7e-07,2.6e-07,2.6e-07,2.8e-07,2.5e-07,2.7e-07,2.6e-07,2.7e-07,2.7e-07,2.4e-07,2.7e-07,2.8e-07,2.7e-07,2.7e-07,2.7e-07,7.3e-07,3.5e-07,3.1e-07,3.2e-07,3.7e-07,3.1e-07,3.1e-07,3.6e-07,3.2e-07,3.1e-07,2.6e-07,2.8e-07,2.8e-07,3e-07,2.6e-07,2.7e-07,2.9e-07,2.8e-07,2.8e-07,2.5e-07,2.7e-07,6.8e-07,3e-07,3e-07,3.1e-07,2.9e-07,2.8e-07,9.1e-07,2.9e-07,3e-07,3.4e-07,3.1e-07,2.8e-07,2.8e-07,3e-07,3.1e-07,2.9e-07,3.5e-07,3.7e-07,3.2e-07,3.4e-07,3.2e-07,2.7e-07,3.1e-07,3.7e-07,3.5e-07,3e-07,3.1e-07,2.9e-07,2.8e-07,3.1e-07,3.1e-07,2.8e-07,3.5e-07,3e-07,2.9e-07,3e-07,3e-07,3e-07,3e-07,3.3e-07,3e-07,3.3e-07,2.8e-07,2.9e-07,2.8e-07,3e-07,3.1e-07,3.1e-07,3.5e-07,3.5e-07,3.4e-07,3.1e-07,3.5e-07,3.1e-07,3.3e-07,3.2e-07,3.2e-07,3e-07,3.6e-07,3.2e-07,3.6e-07,3.7e-07,4e-07,3.4e-07,3.4e-07,3.6e-07,3.2e-07,3.1e-07,3e-07,3e-07,2.9e-07,3e-07,3e-07,4e-07,4e-07,3.8e-07,3.4e-07,3.8e-07,3.6e-07,3.5e-07,3.3e-07,3.5e-07,3.3e-07,3.2e-07,3.1e-07,3.9e-07,6.9e-07,3.6e-07,3.6e-07,3.6e-07,3.5e-07,2.9e-07,3.6e-07,3.7e-07,3.5e-07,3.5e-07,4.4e-07,3.4e-07,3.4e-07,4.4e-07,4.2e-07,4.4e-07,3.7e-07,3.6e-07,3.6e-07,3.5e-07,3.2e-07,4.1e-07,3.7e-07,3.7e-07,3.2e-07,3.9e-07,3.5e-07,3.3e-07,3.2e-07,3.1e-07,3e-07,3.5e-07,4e-07,7.4e-07,3.5e-07,4.1e-07,3.9e-07,3.5e-07,3.3e-07,3.4e-07,3.4e-07,4e-07,4.1e-07,3.7e-07,4e-07,3.4e-07,3.4e-07,3.5e-07,3.6e-07,3.5e-07,3.6e-07,4.2e-07,3.8e-07,3.7e-07,5.4e-07,3.9e-07,3.6e-07,3.1e-07,3.1e-07,3e-07,3.6e-07,1.5e-06,3.7e-07,3.8e-07,3.4e-07,3.4e-07,3.2e-07,3.1e-07,3.1e-07,4.1e-07,3.7e-07,3.5e-07,3.6e-07,3.3e-07,3.7e-07,3.5e-07,3.5e-07,3.2e-07,4e-07,3.8e-07,5.2e-07,4.4e-07,3.7e-07,4.1e-07,4e-07,3.4e-07,4.9e-07,3.9e-07,3.9e-07,4.3e-07,5.4e-07,3.7e-07,3.4e-07,3.4e-07,4.2e-07,3.9e-07,4.4e-07,4e-07,3.8e-07,3.6e-07,3.7e-07,3.5e-07,4e-07,4e-07,3.7e-07,4.3e-07,3.9e-07,3.5e-07,3.6e-07,3.3e-07,4.3e-07,4.1e-07,3.8e-07,4.1e-07,3.9e-07,3.8e-07,3.5e-07,3.2e-07,3.7e-07,3.9e-07,3.9e-07,4e-07,4e-07,3.8e-07,3.9e-07,4e-07,3.9e-07,4e-07,3.7e-07,4.4e-07,3.7e-07,3.6e-07,3.7e-07,3.9e-07,4.3e-07,4.3e-07,3.8e-07,3.4e-07,3.2e-07,3.5e-07,3.8e-07,3.8e-07,3.6e-07,4e-07,4.1e-07,3.8e-07,3.4e-07,4.3e-07,3.8e-07,3.8e-07,3.9e-07,3.7e-07,3.6e-07,3.4e-07,3.8e-07,4e-07,4.3e-07,4.5e-07,4e-07,3.9e-07,3.6e-07,3.7e-07,3.8e-07,3.6e-07,4.6e-07,4.1e-07,3.8e-07,3.5e-07,4.5e-07,4.8e-07,3.7e-07,4.1e-07,3.8e-07,3.5e-07,3.4e-07,4.4e-07,4.3e-07,4.1e-07,3.7e-07,3.7e-07,4.6e-07,
Quadratic Probing
1.16e-06,3.1e-07,1.5e-07,1.1e-07,1e-07,1.2e-07,9e-08,1e-07,1.1e-07,9e-08,9e-08,1e-07,9e-08,8e-08,1e-07,8e-08,9e-08,1e-07,7e-08,7e-08,9e-08,8e-08,7e-08,7e-08,9e-08,8e-08,8e-08,9e-08,8e-08,8e-08,1e-07,8e-08,8e-08,8e-08,8e-08,7e-08,1e-07,1e-07,7e-08,8e-08,1e-07,8e-08,8e-08,9e-08,8e-08,8e-08,1e-07,1e-07,9e-08,1e-07,9e-08,9e-08,1.1e-07,9e-08,9e-08,1.5e-07,1.1e-07,1.2e-07,1.1e-07,1e-07,1.1e-07,9e-08,9e-08,1.1e-07,1.1e-07,1.2e-07,1e-07,1e-07,8e-08,1.1e-07,1e-07,1e-07,1.1e-07,1e-07,9e-08,1.1e-07,9e-08,9e-08,1e-07,9e-08,9e-08,1.5e-07,9e-08,1e-07,9e-08,8e-08,1e-07,1e-07,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1e-07,1e-07,1.1e-07,1e-07,9e-08,1.1e-07,1e-07,1e-07,1.1e-07,1e-07,9e-08,9e-08,1e-07,1.2e-07,9e-08,1e-07,1e-07,1.1e-07,8e-08,1.5e-07,1.2e-07,1.2e-07,1.4e-07,1.4e-07,1.5e-07,1.2e-07,1.3e-07,1.2e-07,1.3e-07,1.2e-07,1.2e-07,1.2e-07,1.1e-07,1.2e-07,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1e-07,1.1e-07,1.2e-07,1.5e-07,1.2e-07,1.6e-07,1.1e-07,1.2e-07,1.2e-07,1.3e-07,1.3e-07,1.2e-07,1.2e-07,1.3e-07,1.4e-07,1.2e-07,1.1e-07,1e-07,1.3e-07,1.4e-07,1.3e-07,1.3e-07,1.3e-07,1.3e-07,1.4e-07,1.3e-07,1.3e-07,1.2e-07,1.1e-07,1.3e-07,1.2e-07,1.1e-07,1.1e-07,1.3e-07,1.4e-07,1.4e-07,1.4e-07,1.4e-07,1.4e-07,1.3e-07,1.4e-07,1.3e-07,1.2e-07,1.1e-07,1.4e-07,1.2e-07,1.1e-07,1e-07,1e-07,1.6e-07,1.2e-07,1.3e-07,1.3e-07,1.2e-07,1.4e-07,1.5e-07,1.1e-07,1.2e-07,1.1e-07,1.3e-07,1.2e-07,1.2e-07,1.5e-07,1.6e-07,1.7e-07,1.5e-07,1.3e-07,1.3e-07,1.2e-07,1.5e-07,1.3e-07,1.2e-07,1.2e-07,1.1e-07,1e-07,1.4e-07,1.4e-07,1.4e-07,1.2e-07,1.5e-07,1.6e-07,1.3e-07,1.5e-07,1.3e-07,1.2e-07,1.5e-07,1.3e-07,1.5e-07,5.4e-07,1.4e-07,1.3e-07,1.2e-07,1.5e-07,1.4e-07,1.4e-07,1.3e-07,1.4e-07,1.3e-07,1.5e-07,1.5e-07,1.6e-07,1.7e-07,2.1e-07,1.4e-07,1.5e-07,1.3e-07,1.2e-07,1.4e-07,1.4e-07,1.4e-07,1.3e-07,1.6e-07,1.4e-07,1.3e-07,1.2e-07,1.3e-07,1.1e-07,1.1e-07,1.2e-07,1.7e-07,1.2e-07,1.4e-07,1.5e-07,1.6e-07,1.7e-07,1.6e-07,1.8e-07,1.4e-07,1.3e-07,1.7e-07,1.5e-07,1.5e-07,1.3e-07,1.3e-07,1.7e-07,1.4e-07,1.3e-07,1.6e-07,1.4e-07,1.4e-07,1.8e-07,1.5e-07,1.4e-07,1.3e-07,1.2e-07,1.3e-07,1.3e-07,1.4e-07,1.6e-07,3.4e-07,1.3e-07,1.4e-07,1.6e-07,1.3e-07,1.1e-07,1.2e-07,1.2e-07,1.3e-07,1.3e-07,1.6e-07,1.7e-07,1.5e-07,1.2e-07,1.2e-07,1.2e-07,1.2e-07,1.4e-07,1.3e-07,1.7e-07,2e-07,1.6e-07,1.4e-07,1.5e-07,1.4e-07,1.6e-07,1.7e-07,1.7e-07,1.6e-07,1.8e-07,1.6e-07,1.5e-07,1.6e-07,1.6e-07,1.9e-07,1.6e-07,1.8e-07,1.6e-07,1.3e-07,1.3e-07,1.5e-07,1.5e-07,1.7e-07,1.7e-07,1.6e-07,1.6e-07,1.4e-07,1.6e-07,1.6e-07,2e-07,1.9e-07,1.7e-07,1.6e-07,1.6e-07,1.6e-07,1.4e-07,1.4e-07,2e-07,2e-07,1.8e-07,1.8e-07,1.8e-07,1.5e-07,1.4e-07,2.1e-07,1.8e-07,1.7e-07,1.7e-07,1.8e-07,1.7e-07,1.5e-07,1.4e-07,2.2e-07,1.8e-07,2.1e-07,1.8e-07,1.7e-07,1.7e-07,1.7e-07,2.1e-07,2e-07,2.1e-07,1.9e-07,1.7e-07,1.7e-07,1.8e-07,2e-07,2.4e-07,1.9e-07,2.1e-07,2.2e-07,2.2e-07,2e-07,2.5e-07,2.5e-07,2.8e-07,2.8e-07,2.7e-07,2.4e-07,2.2e-07,2e-07,3.4e-07,2.8e-07,3.8e-07,3.3e-07,2.4e-07,2.7e-07,3.9e-07,3.6e-07,3.9e-07,3.6e-07,3.5e-07,3.7e-07,4.1e-07,5.9e-07,7.7e-07,8.2e-07,9.3e-07,2.01e-06,2.637e-05,
